Reviews,stars,name,location
"I’ll keep it short and sweet.  OUTSTANDING!!!   Cheese, to Apps to Chefs Specials were just amazing.  Pasta was immaculate. Wine selection is immense!!   They have good beers and great cocktails.   Dessert was mouth watering.   Danielle was a joy as she gave us a great table, treated us like regulars and acknowledged our special night which was our 5th Anniversary.   I would let them cook every meal for me if I could.",5,dahijoka,New York Area
Food could have been better had high expectations and did not deliver.,3,OpenTable Diner,"Dined on January 26, 2018"
The food is always the absolute best... worth making reservations a month in advance 🤗,5,OpenTable Diner,Miami
Food and ambiance are great Service was good.  My only commentary is that the dishes are brought out together ( in 2s or 3s) so inevitably the food gets cold. I assume they want everyone out the door as fast as possible.,4,anvasqu,New York Area
"Service was great, every food item that came out was terrific",5,OpenTable Diner,Orange County
"Strange decor and loud, inappropriate music detracted from a good meal and very good service.",3,OpenTable Diner,New York Area
"Amazing place, fantastic food great waitress",5,OpenTable Diner,New York Area
"It's not easy to get a reservation here, but well worth the effort. We came at opening time on a Monday night in January, and the place rapidly filled up. All severs were friendly, prompt and personal. Cocktails were generous,  appetizers (tuna tartare and hamachi) were wonderfully seasoned and sauced. We had been told not to skip the pasta course (good advice) and the cavatelli with wild boar ragu and pappardelle with white Bolognese were to die for. Combined with glasses of Barbera d'Asti, we shared the spicy grilled octopus, also excellent. Then we forced ourselves to try the excellent desserts and coffee. Hazelnut tart with hazelnut gelato and warm, crisp apple tart with buttermilk gelato sent us on our way. Fantastic meal.",5,MaryJ,New York Area
"superb food and experience, highly recommend. tough to get a reservation though.",5,IFCay,Caribbean
My husband and I went for brunch. It was a great meal. The service was good and so was the food.,4,Brunch,New York Area
One of the top restaurants in the city. I loved the atmosphere and food.,5,OpenTable Diner,Miami
Food wasn't that good way too rich,3,OpenTable Diner,Los Angeles
"This was my 5th time at L'Artusi... enough said!  My boyfriend and I love this restaurant and come here for practically every special occasion.  Reservations are hard to come by, so I recommend booking now for next month.",5,Carly,New York Area
"L'Artusi exceeded our expectations! We went for my boyfriend's dinner, and the servers treated us so well. We got free tastings of their carrot soup and beet ravioli. The olive oil cake for dessert was the right move. All in all, impeccable food, service and ambiance. A top choice for Italian in the West Village.",5,OpenTable Diner,New York Area
Great pasta but the staff messed up the bill so it left a bad taste,4,MichaelC,London
Always consistent - fabulous.,5,WG58,San Francisco
Great service and food. Fabulous atmosphere and great help with food and drink selection.,5,OpenTable Diner,Austin
"I’ve been dining at Il’Capriccio for years and I still love the food, service and ambiance. It’s the best Italian restaurant in New Jersey.",5,ANNAMARIEM,Dined 4 days ago
"I’m wife gave me a gift of dinner at L’Artusi for my birthday. What a treat! This is a great Italian restaurant. Food is prepared tapas style, but the portions are large. We had red Kale salad and mushrooms to start. The kale salad was exceptionally good as were the mushrooms, prepared with mild chili and a poached egg. We then had cavatelli with wild boat ragu and broken squid ink pasta with tuna and puttanesca sauce. Both were excellent. We were stuffed but went for dessert—an apple tart. We would highly recommend this restaurant.",5,ElliotS,Miami
Favorite place in NYC,5,OpenTable Diner,New York Area
"There's a reason this restaurant makes all the 'top italian' lists for New York City.  With its unassuming entrance you wouldn't know  from the outside what a great meal, upscale atmosphere and vibrant place this is. Its superlative in every way, the food, the ambiance and the service. Its not an easy reservation to get as its not huge, but worth trying a month ahead to score a table. Or try for a bar seat. And we always appreciate a restaurant that is on time honoring reservations, they know how to plan it out well. Very reasonable choices of wine by the glass or bottle and cocktails are not overpriced and neither is food. Knowledgeable waitstaff that describe the specials with details, managers that check to make sure everything is to your satisfaction. Yes, the tables are close together, but its a narrow space. Upstairs, the tables are a bit further apart.",5,NewYorkFoodie,New York Area
"Fantastic as always. Great wine list, excellent pastas, and fantastic mains. Go with the chicken as your main course. It’s the best you’ll have in town. For appetizers, the mushrooms are amazing as is the beef carpaccio. You can’t go wrong with anything on the menu, they’ve perfected it all. And the specials are also always a treat. Extremely consistent. Always a great option for a casual week night meal or a special occasion.",4,OpenTable Diner,New York Area
"Unfortunately we went for a special occasion, my husband’s birthday, and rushed to get to our reservation on time.  When we arrived another patron was sitting next to our designated table (at the very very back of the restaurant), side by side next to his date so that he had to be asked to move when we arrived and he did so begrudgingly. Then we had to be subjected the entire dinner to his extremely LOUD voice and appropriate conversation and gestures with his date. Honestly the whole dinner and experience was ruined for my husband and for me. We couldn’t hear one another and if not for my husband being an extremely kind person who didn’t want me to say anything, I would have asked for our check after one drink. I had been so looking to dining there and now -Never again, L’Artusi.",1,CFCC,New York Area
"Fell in love with L'Artusi from the moment we stepped foot inside. The staff was very welcoming,  the ambience was energetic yet very romantic. Food was amazing and the service was equally s wonderful. Book in advance as I booked our reservation a month before our date.",5,OpenTable Diner,Phoenix
"Great way to end the year at L'Artusi.I highly recommend, food is consistent and service is excellent. Thanks Dan and Heather for a wonderful evening",5,NYERR,New York Area
"We had 2 pastas which were very good and a Hamachi appetizer which was good. However the  crispy sweet breads were either over cooked or re-heated and were not very good, to be kind. I order sweet breads whenever I see them on the menu and these were about as bad as I have tasted. So over all I would suggest avoid the sweet breads here and enjoy everything else which is pretty good and fairly priced. The service was also first rate.",4,barmike,Washington DC
"Consistently excellent. Tonight we had the wagyu tartare special which was spicy, rich and excellent.  Our waiter Dan was great. The restaurant has a fun yet elegant vibe.",5,NYERR,New York Area
"best food, best restaurant, lucky to know  this place",5,Seungeun,New York Area
Everything was absolutely perfect! Service was second to none and the food and wine were impeccable!!! Wish we could have eaten here 100 times to try everything on the menu! Some of the best pasta we have ever had! The olive oil cake is a must try!,5,OpenTable Diner,New York Area
"My experience at this restaurant was absolutely perfect and it was something I will never forget.  The ambience is beautiful, the wine list is spectacular and creatively and thoughtfully put together.  The service was extremely helpful, informative, and precise.  The food was spectacular in every way, everything was very well balanced and thoughtful, perfectly seasoned, and expertly executed.  The food just made me smile when i took a bite.   I was extremely impressed by every aspect at L'artusi.  The food, the ambience, the wine, the service all came together perfectly for an amazing and unforgettable experience.  I cannot wait to go back and would highly recommend.",5,Jessicas,Washington DC
Always seated on time (and with a nice greeting) for the reservation. One of our favorites and food tonight was excellent as usual.  Really like the addition of the delicate squash to the winter menu. brought friends who had never eaten there and they loved it too Highly recommend and reserve way ahead.,5,NYERR,New York Area
"Celebrated my birthday with my daughter.  Dinner was awesome, service was awesome!",5,OpenTable Diner,New York Area
Office thank you,5,OpenTable Diner,Chicago
Really really good food!  WOW!  Crowded and hard to get a reservation but worth it!,5,KevinD,Denver
"I've been here multiple times all enjoyable until now. Food was cold, salty and felt rushed by the waiter. Unfortunately, I will not return ever again also I will not recommend this place to my friends or colleagues.",1,OpenTable Diner,New York Area
"I've been going to Il Capriccio since they opened in 1984. They NEVER disappoint. They are still one of the best restaurants I've ever been to. Their consistency on quality, service and attention to detail puts them in a category with a select few. Sal handles the front like an orchestra leader and is in constant motion, but never too busy to smile, stop by and chat. I live further away now, but it is more than worth the drive to go!  They are the gold standard!",5,Mg22,Atlantic City
"We had another wonderful evening at Il Capriccio. The staff is extremely professional and accommodating. For example, the Caesar salad prepared table side was a nice touch even though it wasn’t even on the menu. The steak was flavorful and cooked to perfection, better than most pretentious steak houses in the area, and the seafood pasta was incredible. Tony Grande and his staff know how to run a restaurant and we continue to look to Il Capriccio for special occasions or just a special night out. The piano player is excellent and adds to the ambiance as well.",5,njleopard,New York Area
This is our go to place whenever we are in the mood for a fantastic meal.  It is a bit pricey but well worth the expense.  We have never been disappointed. The décor is gorgeous &amp; the food never disappoints. Highly recommended.,5,VeryHappyFoodie,New York Area
"It is our restaurant of choice for any occasion. This time it was our 55th anniversary. The time before was New Year's Eve. Food is always delicious, service is always gracious and attentive , wine list selection well rounded.",5,OpenTable Diner,New York Area
Food and Service were amazing. Very extensive wine list. Would recommend for a friend looking for a special occasion dining option.,5,OpenTable Diner,New York Area
"FABULOUS DINING EXPERIENCE ----- Thanking the bartender ""Beck"" and the piano player ""Mark"" for great service in drinks and wonderful musicianship from ""Mark""..... Oh yea,,,,,The food was outstanding......",5,garyw,New York Area
Great food and nice ambiance. I’ve been with work and family and haven’t ever been disappointed.,5,OpenTable Diner,New York Area
Food was excellent the service was great  definitely I will go back  ⭐️⭐️⭐️⭐️⭐️,5,OpenTable Diner,Atlantic City
"Il Capriccio is a favorite of ours. Food is always excellent with a creative healthy menu. The wait staff, especially when busy, works like a fine choreography. It's the best. -Jan D",5,jand,New York Area
"You will NOT be disappointed when dining here. The food, service and ambienance are always top notch. The staff in all areas are dedicated to ensuring that you have a wonderful experience. The pasta is superlative, the fish fresh and tasty, the desserts  delicious. We keep coming back with good reason and so will you.",5,Logistician,New York Area
A wonderful overall experience,5,bnp4food,New York Area
"The prices were much higher than similar restaurants. Food was good but can get the same quality food at a better price elsewhere. We enjoy going out to dinner often, but at their pricing will not return to soon if at all.",3,OpenTable Diner,New York Area
We went for our office holiday outing . The food was fabulous and the staff wonderful . It's a terrific choice for a special occasion . The Flying Meatballs are incredible .,5,OpenTable Diner,New York Area
"This was our 12th year celebrating the Holiday season at Il Capriccio in Whippany, NJ.  The food, service and hospitality was excellent, the décor was festive, and the live piano music set the perfect backdrop for a romantic holiday evening.  Start your own tradition, and join in the fun.  See you there soon ;-)",5,dwb2017,New York Area
Excellent Italian dining. Staff professional. Ambiance terrific. Going there next week again. Highly recommended.,5,ToniZ,New York Area
One of the best in Nj,5,OpenTable Diner,New York Area
"The price to go here is not worth it. The evening was fine. Food was good, atmosphere ok, but for the price not worth it. There are many local options that have better food, more attentive service and a more pleasant atmosphere for about the same price. We came on a night where the restaurant had two large parties that devoured the attention of the staff and made the ambiance tough. It was the not intimate special occasion (birthday) experience we envisioned. This was too bad as we had the same experience at this restaurant a few years ago and tried to give them another shot. We won't be back.",3,njmike,New York Area
"We took our your daughter (elementary age), and the management and staff were great to her and very good in general.  All of the food was excellent, and everyone in the family enjoyed it.",5,RayT,New York Area
Wonderful date for me and my husband to celebrate our wedding anniversary. Love this place and the food and service are perfect!,5,OpenTable Diner,Philadelphia
Great service!,5,OpenTable Diner,Cincinnati
Il Capriccio never disappoints! The food is amazing the presentation is beautiful and the service is like no other- our waiter Salvatore could not have been more on accommodating-,5,Paula,New York Area
Went for a birthday and they gave us special surprise dessert.,4,OpenTable Diner,New York Area
"One of our favorite restaurants, over the last 4 years ourselves and 4 other couples celebrate New Year's Eve at Il Capriccio.  Great staff and also the bar staff, great group.",5,OpenTable Diner,New York Area
"Service and food were fantastic.  Interesting, creative twist to traditional Italian.  Can't say enough about the fantastic service, from check-in to finish!  Only downside in my opinion was the music - too electronic dance-style for my taste.",4,OpenTable Diner,Philadelphia
Bustling and noisy but worthwhile for sure.  Staff was exceptionally nice and waiter was very attentive.  Food and menu selections were excellent.,4,Carol,Toronto
the food was very mediocre. the hip is bigger than the actual quality of the overall experience.,3,OpenTable Diner,Los Angeles
"When you dine here you always have a superb dining experience. You are treated in a special manner by all of the staff, that have refined customer service to an art. The food is exquisitely prepared, and the selections available make it difficult for you to decide what you will enjoy. It takes much thought to finally select your entire meal. The wine list is extensive, and excellent. If you are unsure as to what to order, call on Salvatore for assistance, and he will guide you. I cannot recommend this place enough. The family who owns and operates the restaurant knows what it wants, and how a restaurant should be run, and it is translated into reality. I highly recommend it.",5,Logistician,New York Area
We went with friends to celebrate my husband's birthday.  It was a very special night.  The food was delicious as always &amp; the service was impeccable. I would highly recommend this restaurant for any special occasion or just a delicious dinner,5,KARE,New York Area
One of the best places in Northern NJ!,5,OpenTable Diner,New York Area
outstanding food and outstanding service. recommendedmfor all occasions,5,elad38,New England
We lI've coming to here for the best food EVER.  We try to get our favorite table and it's so very romantic.  Don't change anything.  We are planning our next dinner soon,5,PYPY,New York Area
"Il Capriccio met all of my expectations.   Have never had better food, and the attentive staff added to my enjoyment of the evening.  Having Mark play the piano really enhanced our evening (Thank you Mark).    The restaurant is on the pricey side, but worth every penny!  Thanks to all!!",5,Annie,New York Area
Outstanding food with impeccable service!  Every meal we have had here has been perfect!,5,OpenTable Diner,New York Area
Fantastic meal and service. Great birthday celebration for my wife.,5,Craig,New York Area
It was great!,5,OpenTable Diner,New York Area
The food was exceptional as always.  The wine list is impressive and the service was good.,5,RobertC,Atlanta
"One of my favorites restaurants for any occasion.  I have never been disappointed in a meal and never will be.  5 stars is simply an understatement!  Thank you Salvatore, Natale, and the Grande family!",5,OpenTable Diner,New York Area
"We met our in-laws there for a belated birthday dinner for my brother-in-law,  My husband and I arrived early and had a drink at the bar.  The bartender was pleasant, apologizing for keeping us a few minutes, while he finished with another couple.  Our mixed drinks were perfect and served with a smile and friendly chatter.  The others at the bar were friendly.  We went to the table when the other couple arrived and our drinks were brought to us with grace.  Service was excellent.  The crowd is mainly middle to upper middle aged and there were LOTS of birthdays and anniversaries that night.  Lovely piano music accompanies your meal and the food is excellent.  I had the filet, which was a little undercooked for my request but, the meal was a little unique and quite tasty.  My husband and brother-in-law wanted Veal Parmesan, which was not on the menu but, the waiter had it made for them.  My sister-in-law had the salmon, which she loved and, we all brought home leftovers for lunch the next day.  I will also give special mention to the meatball appetizer which was DELICIOUS and, was separately plated so each of us got one meatball from the 2 appetizer orders.  Our waiter could not have been more pleasant nor more eager to service us impeccably.  The décor is the same as I remember from many years ago, when I was there on business.  Very classic Italian.  Nice space at your table and good space between tables.  Our second time there within a year and, we will go again.  It is not a cheap night out but, we enjoyed everything and felt it was worth the price.",5,OpenTable Diner,New York Area
"Nice food, good wine list and attentive staff - we had a very enjoyable evening",5,ZJT1,New York Area
I picked this restaurant out from the NJ Top 50 restaurant list for my wife's birthday.  I put in the OpenTable reservation that it was my wife's birthday.    They remembered and brought a candle and sang happy birthday.  My first time here.  I'd go back in a heartbeat.   Very nice with very good service.  Excellent food.,5,njcoinguy,New York Area
"If you are looking for a first class dining experience this is the place. A very elegant atmosphere and professional service by the entire staff. While expensive, for a special occasion it is well worth it.",4,Ricky115,New York Area
Excellent food in lovely environment served by a knowledgeable staff.,5,jand,New York Area
"The beast in NYC, fantastic service, fantastic food, fantastic location!",5,OpenTable Diner,London
Excellent down to the smallest detail! Loved it!   Service level matched the food and wine quality,5,Jimmydac,New York Area
Food is excuisite,5,OpenTable Diner,Miami
Absolutely beautiful place. You need to take out a mortgage but nice to do once.  Very knowledgeable staff,4,BrightStar,New York Area
Everything (other than a few of the deserts) was able to be made gluten free and the servers were so accommodating of both dietary needs and the early start to our show up town. The food was out of this world. Would love to go back. I’m so glad that places this grear with service this incredible still exist.,5,OpenTable Diner,Washington DC
Italian cuisine and fine dining don’t really match.,3,Piemonte,Los Angeles
"Excellent food, wine and service. One of the best meals I’ve ever had.",5,OpenTable Diner,New York Area
"Amazing! There are no words to describe the food, dinning experience the atmosphere and the staff. All around a top restaurant in the world! Yes the world! Amazing.",5,OpenTable Diner,Charlotte
Spectacular as always. Worthwhile the visit. Still a hotspot!,5,OpenTable Diner,New York Area
Too expensive for what it is. A great American Italian restaurant but nothing more.,3,mrslobek,New York Area
"Food was incredible, but the service was even better. Honestly best service I’ve had so far. We had an incredible time.",5,OpenTable Diner,Austin
The service was amazing but the Food was not as tasty as we hopen for. We had to high expectations.,4,IsabellaTheChefsWife,New York Area
"I've dine at Del Posto several times. Usually the food is outstanding, this time however, it was definitely not up to par. But I will definitely go back.",4,Tempus1964,New York Area
"It was a Sunday evening so a slower evening to begin with.  The restaurant was quiet.  Lighting was very dim but not too much.  Service was astonishing and food choices were impeccable.  Worth the try, however I did leave hungry after an 8 course meal.",5,OpenTable Diner,Nashville
Magnificent,5,OpenTable Diner,New York Area
"Once again, Del Posto exceeded my expectations. I was concerned that it couldn't possibly live up to my first meal there which turned out to be the best dining experience I have had over many years and many locations. It is not a quick meal. With wine tasting it takes 3-4 hours for a 5 course + dinner.  Such a wonderful time and interesting, delicious food!",5,Lynnz,New York Area
"This place had a great food and excellent atmosphere. The staff was very professional. As we were from non English speaking country, we found what is written in the menu to be difficult to understand. We asked the waiter for help but the waiter’s explanation was also a bit difficult. I wish they could be a little more friendly to the visitors from abroad. But overall, we really enjoyed the time and the food.",3,KEAY,New York Area
Go here every year or 2 for special occasions. Food and service r just fabulous. Will never fail to impress.,5,Traumamd,New York Area
"Very “stuffy” atmosphere...old school dining. Food was mediocre for the price. Wine list was outstanding!!  Service was great, as expected.  Probably wouldn’t go again as there are so many other nyc restaurants!",3,OpenTable Diner,New York Area
It was the first time to me to visit NY and NY restaurant as well in my life. It was great experience and I really enjoyed the meal.,4,OpenTable Diner,Macau
Food service and ambiance were incredible. Waiters knowledge of menu was great. A really nice experience but you get what you pay for. 5 course dinner with a few bottles of wine was about $250 a person. Well worth it but not an every day thing,5,OpenTable Diner,New York Area
"Food was all very good. We had the 5 course tasting menu everyone was happy with their selections, with comments Ranging from very good to this is the best fish/ pasta I have ever had. The wine pairings where disappointing would not do them again.",4,OpenTable Diner,México
"One of our favorite restaurants in the city !!! Great ambience, amazing food. Great wine list.",5,OpenTable Diner,New York Area
"Food was fantastic, my husband and I got to enjoy amazing gluten free pasta, best we ever had.",4,OpenTable Diner,Salt Lake City
We had fun. Didn’t realize it was crazy fancy but they were still very understanding that we forgot our monocles and tuxedos. Great food and fun experience. It’s obviously expensive so be prepared.,5,OpenTable Diner,New York Area
"Our entire experience, from the time we walked in up until the moment we left, was delicious, enjoyable and perfect from start to finish! Thank you Danielle, Jean Jacque, Cory and the whole team that took care of us😊",5,OpenTable Diner,New York Area
This is my favorite Italian restaurant anywhere. The food and service are unparalleled. Thank you for another memorable experience.,5,Ilovedelposto,Washington DC
"We were celebrating my mom's birthday and we could not have picked a better Italian place for her (she's a highly discerning in her Italian food).  Service was accommodating, attentive, friendly  and professional.  The room is impressive but not intimidating.  Food was excellent and plentiful for the coursed meal.  Overall a great dining experience for our group, which included a 7-year-old.",5,OpenTable Diner,New York Area
Wonderful as always,5,OpenTable Diner,New York Area
"Superb food, elegant room, sophisticated servers",5,JamesB,New York Area
Came here to celebrate my anniversary with my girlfriend. The captain's 8 course meal was the perfect meals in appropriate portions. Ambience set the mood right for our date. Staff was attentive and courteous.,5,OpenTable Diner,New York Area
From the time I walked in to the time I left had and amazing experience. Staff was on point! Thanks for and amazing evening,5,Chris,Tampa
"Fantastic, but pricey",5,OpenTable Diner,London
It was very very nice and the food was fantastic.,5,OpenTable Diner,Houston
"Wonderful experience. The white trouffles just gave us heaven, what had been already exquisite!!",5,OpenTable Diner,Orlando
Del Posto was an exceptional experience! My boyfriend and I went for his birthday and the staff and chefs were nothing short of amazing. We did the Captain's Menu which I highly recommend! Delicious! A dinner to remember!,5,OpenTable Diner,New York Area
Fantastic meal,5,OpenTable Diner,New York Area
"Very good food, a bit pricy.. vfm ok for lunch",5,OpenTable Diner,San Francisco
Beyond exceptional!,5,AlishaR,Calgary
"From cocktails in the lounge to dessert this was an amazing meal and fabulous dining experience. Loved the uniqueness of every course, the amusee offered and especially the white truffle ravioli. Service was perfectly timed and most gracious.  Will definitely be back!",5,FabD,New York Area
There is a new space that was recently opened. They put all the larger parties there. On 8ft folding  long tables from Costco!!!  No one in that room was happy. Need round tables for groups like this. It was not fun to sit four per side. Too bright in there as well. No ambiance. Need to get this part together ASAP. Food was very good. Service a little scattered. Will go back but need to know the back room is changed.,4,OpenTable Diner,New York Area
I love this restaurant and the owner is a lovely man who is really a foodie.  This restaurant has a good vibe and the service is terrific.. I come here at least once a week with my family or a date.  The food is amazing and the stuffed artichokes ate the best I have ever eaten...,5,OpenTable Diner,New York Area
We really enjoyed our dinner with friends at Cafe Venezia.  Food and service were both wonderful.  Highly recommend!,5,JanS,New York Area
Our party of 6 really enjoyed the meal.  The appetizers were delicious as were the main course and desserts.  We have been here at least a dozen times and we have always enjoyed our meals!!!  The staff and owners are very personable and very  accommodating.,5,APBurson,Philadelphia
"We had a wonderful time.  They are very attentive, accommodating  and service oriented.  Brought the children's dishes out first -we didi not have to ask.  Excellent food.  We will be back.",5,OpenTable Diner,Philadelphia
My husband ate a pasta. It was really good. I ate ossobuco pork. It was so so. Dessert  and service were excellent,5,OpenTable Diner,New York Area
"Couldn't have asked for a better experience. Great food, excellent service and just an overall enjoyable evening. Highly, highly recommended!",5,MisterOB4,New York Area
"Our first time.  The food was very good and the portions very large.  The server was friendly and helpful with any special orders, like a change of pasta type.  The Broccoli Rapi was especially well cooked and flavorful.  We will be back!",5,Backdoc,New York Area
"We were a group of 15.  Initially res. Was made for 10, as open table does’t take more on the website. I  contacted the restaurant a week in advance to increase the number.   Upon arrival (res for 12:30),  no one greeted us, we were the only customers at the restaurant, our table was set, and we just took our sits.  In a while  a waitress showed, took some drink orders, but we had to ask for menus, non was offered.  Later  Leo, our waiter ( maybe the owner?)  took our orders, he was  friendly, however at 1:30, an hr after our Res., we only had our salads served. Very slow service, mix up with the orders.   The food was very good, portions fine, but service was slow, despite the fact  that there was only one other table occupied  beside our group. There was also a mix up with the bill, 2 extra plates were  charged, which we corrected.   All in all a mixed experience,   wouldn’t recommend it for larger groups.",3,Eurogirl,New York Area
We have been to Cafe Venezia at least 6 times and it never disappoints.   Food is always fresh.  Service is generally also great but this time it was a bit slow- took over an hour to get our entrees.  I’m guessing there was a mix-up but dinner was delicious as usual.,5,nanswm,New York Area
"As usual, a great meal with great service! Everyone enjoyed their meal!",5,OpenTable Diner,New York Area
"Always welcoming, consistently great food what more could you ask for?  Go!",5,FrankD,New York Area
The place is amazing - Leo is the best waiter ever!! Truly an amazing experience from appetizer to dessert,5,OpenTable Diner,New York Area
Always fabulous from the moment we arrive. Feel like family. Amazing choices and the food can’t be beat. Leo is the best!,5,sp3cial,Las Vegas
