Reviews,stars
"The high ceilings and big expanses of white give Milos an airy and lively ambiance. The service is marked by warm attentiveness---there always seems to be a wait staffer on hand to answer questions, refill glasses, make suggestions. We wish we had space for dessert but maybe next time. ",4
"We can't wait to go back, when our wallet permits.",5
"Phenomenal! Amazing food, amazing service. The ingredients were fresh and delicious, the presentation was stunning. Each dish was stellar. Servers were constantly attending our table, not letting the water get low and making sure we were constantly satisfied.",4
One of the best restaurants in New York.   We dine at Milos every visit to New York.,5
I lived in Manhattan for years and Milos was one of my go-to spots for dining.  Authentic and amazing are the two words that best describe the experience.,4
Delicious but the noise is a problem,4
Love Milos!!!!,5
The service was very slow.we started ordering at 17:30 and left the restaurant in a hurry after 20 almost missed our flight back home.there are many waiters and service people and the service was excellent just slow as mentioned.the dish of greek meze was quite simple and disappointing even though we like greek food and mezes in particular.the lamb ribs were good .we took a fish on the business menu that wasn’t so tasty.of the deserts the greek yogurt was very good.we didn’t like the cake.,5
Great food. But a very long lunch due to restaurant week menu at every table.,5
So the waiter was the pick of the day! He was the best I had a prefix dinner at 10.00 that he suggested and was simply perfect going next week again GREAT,4
Food was delicious and the right portion. Service was great.,5
"Beautiful food and great service! Let down by tables far too close together, could hear everyone’s conversations, shouldn’t be that close for the price you pay",4
"Too noisy and too crowded (tables very close together); food was good. Overall not as good as other steakhouses in New York (e.g Ruth's Chris, Smith & Wollensky, Capital Grill, Morton's).",3
Everything good. Relatively expensive,5
Terrible table very noisy ,3
Is not the first time  that eat there but  this time  they selected the wrong  table and room ,5
Great food...service friendly but just slightly off. The classic Nobu dishes are still on point. It’s a keeper...,4
Is the first time that i was sent to the 3rd floor ,4
Not too happy,4
Carrots were delicious.  We brought some guys from North Dakota and they enjoyed the entire experience.,1
Wanted to try an authentic NY steak house. It fitted the bill.,5
our prime rib came out raw.  we made a special order for it in advance so they would not run out and the waiter did not even mention it so we assumed he knew.  So they took it back and put it under the broiler and turned it into a steak.  There was no flavor.  No au jus taste whatsoever.  The bread basket was disappointing.  Where was the onion bread the pretzel bread and the bread sticks.  The waiter never came over to see if the prime rib was better.,5
"We’ve been to a lot of high caliber steak houses in New York and this one really disappointed!! Service was average, food was average, however the price portion was ridiculous! I’m used to expensive pricing for a really good Steak House, especially in NYC. But the over the top prices did not match with the service, food and total experience. Too many other Steak Houses to go to, will not be back.",3
"Keens Steakhouse was the only restaurant we felt we had to hit during this short trip to New York for meetings.  From the pipes on the ceiling to the Byzantine layout of the rooms to the pictures on the walls and the dark wood everywhere the place just feels good.  My t-bone was exceptional.  My colleague's filet was awesome, too.  Best to book a table a few weeks out.  We were lucky and able to get a 5:00 with only a day's notice.",5
I took VIP clients to Keen's for a business lunch and it was the perfect choice.  Service was attentive but not overbearing.  Tables were spaced far enough that you could have a nice conversation and not hear people from other parties.  Seafood appetizer and steak were both outstanding.  Overall it's a classy yet unpretentious restaurant with superb food and service.  It's not cheap but it's all well worth it.,4
Memorable historic building.  Average service and steak.  Tiny table for two.  Surprisingly uninspired wine list.  The crowd was touristy so not the best place for a business dinner either.  I was slightly disappointed when I left.,5
"We had Dover Sole, Mutton, steamed spinach, and a Wedge Salad (with a side of bacon).  Everything was perfect.  When we arrived they brought crudites with a lovely dip and some bread; service was attentive and unobtrusive; we had very nice cocktails (gimlet and old fashioned).  Love how quiet the restaurant was despite being full, my favorite steakhouse in new york by far -- though not having had steaks, we cannot speak to that! However they do dry age their own so imagine it's top notch.",4
Nice please to have perfect steak with interesting ambiance,5
The best steak I've ever had!,5
"Great vibe, beautiful and historic place.",5
We're coming back for our anniversary and decided it will be our spot for the annual celebration.,5
The ambience was great.,5
"Waiter was courteous, attentive and friendly.",5
Food was excellent and wait time negligible.,5
60th Birthday,5
"We were in NYC for 3 days and it was totally worth going to this restaurant. Food is amazing, waiters are nice!",5
I received a message that i did not make my reservation. I was in fact there.,4
Amazing food service and freshness,5
Very delicious,5
Fresh and hot food ,5
Nice Omakase,5
Grilled salmon option,5
Beef options,5
Always absolutely perfect in every way,4
Everything was delicious and flavorful and so fresh tasting!,2
"Nobu 57 never disappoints, the food and drinks are always amazing,",5
"Service, ambiance, and food were fabulous!  We had a wonderful meal with plenty of input from our patient waiter.  You can't go wrong with anything on the menu (we worked our way through half of it) so be adventurous!",5
"Disappointed they changed their tempura rock shrimp salad into what appeared to be a sharing appetizer. Their sashimi we have ordered for years upon years was served with skin and again, disappointed in the changes",5
"I usual don’t mind pay a lot for food as long as the food is good but this wasn’t the case here. Every dish I had was salty my friend order the fish bento box for $50 and the fish she got was cod, for $50 I expect at least a sea bass.",5
"Also they deliver our food at different times, so I watched my friend eat and she watched me eating my food.",4
"Very disappointing, scratch this place off the least.",5
"Our waiter had great advice about must get dishes. We shared a number of appetizers, then ordered sushi based on how hungry we were at that point. Great service!!",5
great high end food! great service and ambience...expensive but worth it,4
"Food sublime. Great sushi. Excellent wine list, but super pricey. Would love to see them expand wines in the 60$ range. Super fun ambiance. We had a blast at Nobu!!",5
"We were there to celebrate my stepdaughter’s birthday. She had always wanted, but had never been to Nobu. From the food to the service, attention to detail to the dessert surprise, it was a magical night. I comment the staff at Nobu for making another night at this location very special.",3
Food is delicious. Service is so-so. Loud and touristy but food is good.,3
Only complaint: We arrived early for our 5:45 pm reservation and we were told we could wait at the bar. We sat at the half booth with the little tables along the window which was great. Then the waitress told us our table was ready and we gave up the seats. When we walked over to the hostess she told us there was no early seating?? And the waitress had given up our seat at the bar. The service upstairs more than made up for any inconvenience. Our waiter was perfect. All the wait staff was incredibly attentive. Excellent food - especially the beef dishes. So tender and the sauce was delicious.,3
"Amazing food, and the service was excellent!!",4
"Good, but so expensive",5
Wedding anniversary,5
Food really was not that special for the price. Lobster shittake salad was delicious though.,5
Been to Nobu in Malibu and Vegas and had a amazing experience. The food and service at Nobu 57 was not at all good. I was disappointed with the quality of the food vs the amount t of my bill.,5
"We were 3 people & they kept bringing 1 persons meal at a time so when 1 finished there main course they brought the next persons ( really weird ) & the ambiance does not warrant the prices they charge ,  glad i went but not impressed at least it's off the bucket list",3
The best and delicious sushi and sashimi! Came here during lunch for our 10 year old’s Birthday.,5
Had the Nobu bento box for lunch. Fabulous flavors in 6 courses. Good wine. Desert was great as well. Expensive but worth it.,5
"Fantastic! We loved all. The food, the service, the ambiance.",3
"This was our first time at Nobu Fifty  Seven  and I must say that they exceeded our expectations by far. We have dined at Nobu in the Bahamas, Las Vegas, Los Angeles, but I think Nobu Fifty Seven is our new favorite in NYC. The food is great - definitely recommend trying the hibachi if the table is available and the setting is even better.",5
The sushi was incredibly fresh and delicious! Had an amazing experience. Will be back!,5
Price of tacos — $9/piece for something the size of half a Kit Kat — felt outrageous.,5
Great experience. First time with children-they were so accommodating!,5
Anniversary,3
Hostess rude and,5
Todo estuvo muy bueno! Si regresaria,5
Love the place - tho a tad expensive!,5
An historic occasion every time I eat at Keens and that day was historic in its own right as it was my birthday. ,5
The prime mutton chop was heaven for carnivores. I get hungry again thinking about it. Everything else was wonderful. ,5
Love the hot fresh sourdough rolls with veggies and blue cheese we always start with. ,5
This is the place to recapture NYC as it once was and will never be again,5
"My wife, 2 other couples and I visited this steakhouse on a Saturday night. We were here visiting on vacation and made a reservation well in advance. Everything we had was amazing. We had bacon as an appetizer and each of us got a filet. Cheesecake for dessert. The filets had to be some, if not the best, steaks we've ever had and I've visited a lot of steakhouses in Atlanta where we are from and elsewhere. The ambience is extremely relaxing and unique. Their wine list is very extensive, we got two excellent bottles. Highly recommend this place!",5
"Excelente ubicación excelente servicio excelentes mignones, Wine list ok, lime Cake delicioso",5
"We always used to get their signature dish:  Keens' mutton chop but now we cannot go to Keens without reserving their king's cut prime rib, medium rare, of course.  They are famous for their Bloody Mary, one of the best in the United States, by the way.  Their Caesar salad is a thing to behold and their key lime pie and hot fudge sundae are beyond comparison.  You are simply in for a grand treat eating here whatever the occasion may be.",5
The best steakhouse in NYC,4
"Absolutely delicious! Great atmosphere and attentive staff, but the FOOD! The lobster bisque was alright... everything else was stellar! Scallops cooked to perfection, my wife loved the filet, it was all so good.",5
"Four adult friends were visiting NYC for a long weekend.  Keene's was on our list of ""where we HAD to eat"", and it did not disappoint.  I'm pretty much a steak snob, and the quality of the beef was incredible.  We had 2 small filets (8 oz-not exactly small) and 2 shared the bone in porterhouse.  AMAZING is all I can say!  Would recommend to everyone.  Worth every penny!",2
BEST FRIES! FAST SERVICE! GIANT PORTIONS! GREAT SUNDAE!,5
Ristorante top ! carne perfetta. Organizzazione e professionalità,3
"Excellent steakhouse. Food was delicious, and the service was outstanding!",4
"Excellent service, food came out at the perfect time, everything was wonderful.",5
"What a gem!  Maybe the best sirloin steak I’ve ever had...hard sear on the outside and perfect pink on the inside.  Crudités on the table was nice touch.   Bloody Mary was mine drinking a salad! Portions are huge, so come hungry or take home some excellent leftovers.  Sides were good, and more than large enough to share.  Service was attentive and courteous.  We’ll be back!",5
I have been going to Keens for about 30 years ,5
- and that’s my review.,5
Loved this place. Going to miss it. Was there the last dinner service and just really sad that it's gone.,5
"so sad that it is now closed,  it's better than many.",5
It was a great memory and a fond farewell. Food was superb ! It will be missed!,5
Closing Wednesday 1/17/18. Can’t wait to see what Bobby Flay does next. I’ll miss this midtown spot.,3
"Loved the food, but the portions were huge.  Loved it again the next day.  The lamb was particularly delicious and cooked perfectly. Great night out.",5
"The food was excellent. It was disappointing that the restaurant was closing for good in 3 days. Several things that we wanted were ""out"" because of this.",5
Service was slow.  Had a reservation but still waited 15 minutes,1
Wonderful again. Heartbreaking it's closing,5
Wonderful!!  We’ll miss Bar Americain and so sorry it is closing. We’ve enjoyed it so much when visiting New York.  Hoping Bobby will open it back in another location!,5
We have enjoyed ---and been dining at Bar Americain for the last 12 years + since it opened---and we were so sad to hear they are closing the restaurant tomorrow after serving the last meal at lunch!!!    We understand it is another situation of the building owner that would not compromise on a new lease---and would rather see the space empty---sorry to hear---good luck to the great staff in finding new jobs!!,4
Our service was atrocious. If the Somalia needed to check on what was keeping our entres then there were major issues. Possibly the most distressing is that restaurant offered NOTHING for the inconvenience. A great restaurant had a VERY bad nights.,1
Underwhelming.... pricey,3
"The seating was a bit tight and therefore louder than I prefer; I couldn’t carry on a quiet conversation with my husband. The service was excellent; I appreciated the personal service I received. The pizza appetizer, fries, and profiteroles were worth the wait but the Philly steak was clunky and overpriced. I would revisit; I went because it was Bobby Flays restaurant and was very pleased.",3
"One of the best meals, I've ever had, much less in Midtown!",5
Great food once agaIn at one of our favorite NYC restaurants. Stopped by for a pre-theater dinner. The lobster and avocado appetizer is my favorite. I was dreaming of it since we booked our reservation. I had the mussels and fries for my entree. The only thing missing was the crusty bread to soak up the sauce. The staff is friendly and energetic. I strongly recommend.,5
"Though I have been to Bar Americain several times and have always enjoyed the experience, I am not sure I will return. My sisters and I were there last Saturday to take our mom out for dinner and a show as a gift for the holiday. We had a 6pm reservation and tickets to see an 8pm show up the street.  The food was fine but the service was abysmal. Our waiter asked us if we had any time limitations, to which we responded that we had an 8pm show, and then he disappeared. Our entrees didn't arrive at our table until 7:30pm - more than 90 minutes after we sat down.  WE flagged him down to inquire about our food and he seemed wholly unconcerned. He didn't apologize or explain. He just said he would check. He didn't come back. When we were finally able to get him again, we reminded him of our show and said we were hoping for time for dessert and it was getting tight. He said he would check and never returned. In the end, we had to rush through our entrees (literally not having time to finish), request the check while we were eating and dash out without having dessert or coffee. The waiter never offered up any apology or explanation about the situation nor did he comp us for any part of the meal. It was so disappointing and the stress about missing our show really got in the way of our ability to enjoy our experience. As if that wasn't enough, my sister left her credit card in the restaurant (because we were in such a mad hurry) and when she called the restaurant the next day to see if they had the care, the person she spoke with was completely unhelpful and merely said she hadn't heard about a card. She clearly didn't look nor was she going to. Overall, It was such a bad experience that I don't think we will ever be back and I plan to share this review far and wide. Given the cost of a meal at this place, the service should be outstanding. Sadly, the service (and thus the experience) was truly awful.",2
"Very underwhelmed. Heard its closing in a couple days, maybe that is why. Ran out of tap beer upon opening at 5pm. Waiter had not energy or excitement to be there. Steak served cold sent back. Bathroom had plastic container of soap. Mgr was only person that kept this from getting all 1's.",2
Great service and nice ambiance. Two top tables are too close together and you hear neighbors conversations too much. Penne a little underwhelming and “sampler” seafood app only had two shrimps. Otherwise great !,4
"We had a great lunch, as always, but I was very surprised to learn you are CLOSING FOR GOOD on Wednesday 17 Jan 2017. A great loss to the neighborhood.",4
"So sorry to see Bar Americain close!   Will miss their grilled meats, specialty cocktails, seafood tower.",4
"Very sad they are closing. Food was great, but the service was only okay. They are obviously in “shut down” mode. Under-stocked bar— under-staffed kitchen and servers.",4
Not worth the money. Wait staff was fine but food was terrible from starters to entree. Didn't stick around for dessert. First and last time.,1
Fantastic food and delicious drinks,5
"waiting so long to eat at a Bobby Flay restaurant. finally did appetizer, came out luke warm (shrimp and grits) Entree was delicious. The most disappointing was the service, it was not busy at all, wait staff standing near bar talking. Our waiter very unattentive. ",3
"As much as I am a fan of Bobby Flay, I will try again.",5
Great service and awesome steak,5
"Fantastic food, classic tribute to Bobby Flay’s complexed yet complementary flavor combinations",4
I’ve been here twice the first time was exceptional. This time the service was slow and unattentive and several of the dishes were just ok. The onion soup was amazing! I’d still recommend it but with a little caution since the experience wasn’t as great the second time.,5
BA always a good experience; terrific meal on a cold winter evening in NYC.,4
Excellent service and great food!  Location is great (Times Square)—-especially if you are staying at the Sheraton next door ;),4
Limited menu. A little pricey for the portion size.,5
One of the best dinners we’ve had. Creative and delicious items. Can’t wait to go back.,5
I love Bobby Flay’s restaurant.  Sad to hear it’s closing.,5
Food and service were execellant. Thanks for making my New Years Day so enjoyable,1
"Have been coming here with friends for 6 years on New Years Day and it was always a pleasant experience. My only complaint prior is that the menu was becoming stale. They actually removed a great dish from the brunch menu (full portion of shrimp and grits - now only avail as appetizer). They are closing their doors in 3 weeks due to a lease issue so this was to be our final visit. We were so disappointed today. The French Onion Soup tasted and smelled like an ash tray (something in it was burnt). The Tuna Tartar Toast Points were burned. The Kentucky Hot Brown had burned toast and was neither hot nor brown (it was ice cold). The Crab Cake Preakness Eggs Benedict was over cooked. They only charged for some apps and drinks, which in my opinion was too much for the experience. We understand that they are closing BUT it's Bobby Flay's reputation that is attached to it. I am sure if he would have been there today, he would have shuttered the place immediately.",2
"This restaurant is closing soon, so we wanted to visit one last time.  That was a mistake because the staff and kitchen have obviously already checked-out.  The restaurant was always one of our favorites, and we will remember all the great meals we have had there; but this last visit was not good.  Mr. Flay would not be proud.",5
"Went to Bar American after attending the Alvin Ailey New Year’s Eve dance performance with my husband and  a friend, what a great time was had by all.  The restaurant did not have a special menu for New Year’s Eve, which turnout to be great as we each order a different dish and shared, I had the chioppino  which was delicious with a kick to it, my husband had the pasta simple yet taste and my friend had the chicken which had a nice flavor to it.  We ordered the crepe and soufflé for desert and the staff provided us with champagne to ring in the New year and the noise makers.",3
As always Bobby restaurant’s never disappoints.,5
日替わりメニューのチキンカツを食べましたが、とにかくボリュームがあり、完食はできませんでした。,3
味も普通で飽きてしまいました。,4
"Not at all what I would’ve expected. The hosts sat us 45 minutes after our reservation, after seating 3 groups with the same time slot AHEAD of us. It wasn’t until I glared for the 10th time that they realized they had made a mistake. There was clearly open tables but they only had one or two bussers working. When we got to the table we had a waiter wait on us, then totally disappeared without even announcing it to us, followed by another lovely server coming and taking care of us which is honestly the only reason this review isn’t one star. The food was good, but I would not say it was spectacular. There was too much of a delay between courses when the restaurant wasn’t even that busy when we finally had gotten seated. We were seated at roughly 10:15 and didn’t get out of there until midnight. Really frustrating to have a restaurant be so inconsiderate of your time and not even acknowledge the fact that they made mistakes.",3
Great experience. Definitely recommend a return to family and friends,5
Working people not really interested in helping or serving.,1
We waited for more than 20 minutes without abolutely no assistance and just decided to leave the place.  No one was even capable to ask why!!!!,1
Will never return!,1
Service wasn't up to standard and host was very rude,2
Service was beyond horrible never have I finished a drink as well as have the bread cleared from the table before the server even came over to take our order. Sever never checked on how things were entrees came as we were still eating apps felts totally rushed!!,3
Lamb was over cooked.. almost rubbery really. Mac & Cheese was tasteless but cheesy. ,3
Waiter didn’t know the products well and tried to wing it. Had no knowledge of the tastes of the wine options. I asked for something sweet but red.. he brought me a Pinot noir that tasted like dirt and i still had to pay for it.,5
Service was alright. Food was great. Too loud to enjoy the experience. A lot was going on. Not a place for everyone.,4
"We went for Restaurant week and was made to feel bad that we were ordering off of that menu. The food was good but I am glad I didn't pay full price for some of the items. My steak was overcooked, tell tasty but not done to my liking.",5
I went here for restaurant week and ended up ordering from the regular menu. I was not crazy about the bacon appetizer but We ordered the ribeye steak for two with some sides for dinner and it was delicious. The entire meal was a bit pricey but I enjoyed my experience at this restaurant. I would definitely recommend this restaurant for a special occasion.,2
Delicious meal great value during restaurant week.,3
"Nice ambiance, awesome music & good service. All around great time 👍🏼",2
We ate at STK before a play and were very satisfied.  They asked about timing and we had plenty of time to get to the theater.,4
"The food was excellent, as was the service.",3
"When we sat down the music was loud, but the manager reduced the volume to a comforable level.",5
It was a good start but awful finish. Server forgot about us and food was a mix of good and mistakes.,4
Service was very slow even though the place was pretty quiet. My branzino was delicious though pricey. Was not impressed.,2
"The service was slow and the waiter was rude.  The tuna tartare was delicious and the drinks were good but that was about it.  The shrimp my friend ordered was tough and the salad was salty.  Another friend and I ordered the same salad that was either the wrong salad or missing something.  Neither of us ate it and explained why.  Nothing was done with the bill and when we asked for there to be, the waiter couldn't have been ruder.  Needless to say, it was not worth the $300 bill.",5
Dry aged steak was amazing. Cooked to perfection and the sides were cool,5
"I asked for a refill of water twice, watched a waiter working a different station walk right passed us to refill his customers water glasses and finally needed a sip of water so bad that I actually pulled my personal bottle of Poland Spring out of my purse and refilled my glass. I left the bottle on the table as a hint to our waiter. Five minutes later, our waiter came and refilled my husband’s glass. We left a 20% gratuity despite the fundamental lack of service. The pistachio crusted lamb was delicious.",4
"Amazing place decoration, ambience, food, drinks, etc. Everything was wonderful.",5
Food was good but our waiter was too slow.  He took a long time to actually get to us . And one point we had to search for him.,2
Waiter served us our check while we were still eating,3
The food was absolutely delicious. ,2
"The tenderloin was perfectly cooked, as well as the mini-burgers, and the tuna tartar. The desserts could use a little work, I was very unimpressed. ",4
"My only complaint is about the service. They may have been a little understaffed for restaurant week, but that is not going to stop me from coming back here. It's definitely worth a visit!",4
We ran late but they still honored our reservation and took us anyway..we were super grateful for that.It was a Great time!!We came to experience the restaurant week menu ..and the food was Good and the price even better! The dj was amazing..played some top 40 but also some oldies but goodies.The drinks were also made well and strong enough👌🏽,3
Great experience!,4
"Visited STK for NYC Restaurant Week and the experience was great. My family and I celebrated my brother-in-law birthday. From the food to the service and the atmosphere, we shared a great experience. I would recommend going with or without the restaurant week menu. Will be visiting again to try other dishes. ",2
One word!!,5
"ALSO, definitely a great place to celebrate a birthday, especially if it's past 9pm! Music is on point!",5
"The food is excellent, but the service is atrocious. There are plenty of venues nearby where, for the same price, you can get food that is as good or better and you won't have to deal with horrid service. I've been visited by waitstaff more at a Chick-fil-A than I was at this establishment. I will never return to this restaurant.",4
"We made a reservation, arrived on time, and then proceeded to wait for 45 minutes for a table. Our water glasses were empty for nearly the entire meal as the staff took unacceptably long to refill them. We had been seated for more than twenty minutes before we saw a waiter for the first time, and it was another fifteen minutes before bread was brought to the table.",5
